ID;Ambito;Departamento/Continente;Provincia/Pais;Distrito/Estado;Localidad/Embajada;Mesa;Peru Libre;Fuerza Popular;Total Validos;Voto Blanco;Voto Nulo;Voto Impugnado;Total Votos;Electores Habiles
0;NACIONAL;AMAZONAS;BAGUA;IMAZA;IE 16351 JOSE KISTUG PUJUPAT;900046;165;1;166;0;0;0;166;261
1;NACIONAL;AMAZONAS;BAGUA;IMAZA;IE 16357;900027;127;0;127;0;5;0;132;237
2;NACIONAL;AMAZONAS;BAGUA;IMAZA;IE 16357;900028;130;1;131;0;5;0;136;238
3;NACIONAL;AMAZONAS;BAGUA;IMAZA;IE 16357;900029;139;0;139;0;3;0;142;238
4;NACIONAL;AMAZONAS;BAGUA;IMAZA;IE 16714 SUWIKAI TSAKIM MIYAN PRIMARIA;900023;43;0;43;0;0;0;43;99
5;NACIONAL;AMAZONAS;BAGUA;IMAZA;IE 17088;900036;42;0;42;2;0;0;44;83
6;NACIONAL;AMAZONAS;CONDORCANQUI;EL CENEPA;IE 16342;658;101;0;101;0;4;0;105;300
7;NACIONAL;AMAZONAS;CONDORCANQUI;EL CENEPA;IE 16342;659;68;1;69;0;0;0;69;300
8;NACIONAL;AMAZONAS;CONDORCANQUI;EL CENEPA;IE 16342;661;144;1;145;1;10;0;156;300
9;NACIONAL;AMAZONAS;CONDORCANQUI;EL CENEPA;IE 16348;900124;131;0;131;0;0;0;131;237
10;NACIONAL;AMAZONAS;CONDORCANQUI;EL CENEPA;IE 16364;900125;127;0;127;0;1;0;128;250
11;NACIONAL;AMAZONAS;CONDORCANQUI;EL CENEPA;IE 16741;900115;163;1;164;1;3;0;168;243
12;NACIONAL;AMAZONAS;CONDORCANQUI;EL CENEPA;IE 16741;900116;160;0;160;2;0;0;162;244
13;NACIONAL;AMAZONAS;CONDORCANQUI;EL CENEPA;IE 16741;900119;145;1;146;0;17;0;163;243
14;NACIONAL;AMAZONAS;CONDORCANQUI;EL CENEPA;MOISES MORENO ROMERO;676;35;1;36;0;0;0;36;218
15;NACIONAL;AMAZONAS;CONDORCANQUI;EL CENEPA;MOISES MORENO ROMERO;677;31;1;32;0;0;0;32;219
16;NACIONAL;AMAZONAS;CONDORCANQUI;NIEVA;IE 16712;900103;106;0;106;0;9;0;115;233
17;NACIONAL;AMAZONAS;CONDORCANQUI;NIEVA;IE 16712;900104;107;1;108;1;1;0;110;233
18;NACIONAL;AMAZONAS;CONDORCANQUI;NIEVA;IE 16712;900105;119;0;119;0;3;0;122;233
19;NACIONAL;AMAZONAS;CONDORCANQUI;NIEVA;IE 16714 SUWIKAI TSAKIM MIYAN;900098;179;1;180;0;5;0;185;265
20;NACIONAL;AMAZONAS;CONDORCANQUI;NIEVA;IE 17104;900100;126;0;126;1;3;0;130;186
21;NACIONAL;AMAZONAS;CONDORCANQUI;NIEVA;IE 17104;900101;111;1;112;0;4;0;116;187
22;NACIONAL;AMAZONAS;CONDORCANQUI;RIO SANTIAGO;IE 16375;900107;228;1;229;1;1;0;231;292
23;NACIONAL;AMAZONAS;CONDORCANQUI;RIO SANTIAGO;IEP 16377;900113;0;0;0;0;78;0;78;168
24;NACIONAL;ANCASH;HUARI;HUARI;IE 86323 VIRGEN DE FATIMA;1849;0;0;0;0;61;0;61;300
25;NACIONAL;ANCASH;HUARI;SAN MARCOS;86380;1972;0;0;0;0;300;0;300;300
26;NACIONAL;ANCASH;POMABAMBA;HUAYLLAN;I.E. EFRAIN ROCA GAMBINI;2137;177;0;177;0;14;0;191;264
27;NACIONAL;ANCASH;SANTA;CHIMBOTE;IE SAN PEDRO;2336;0;0;0;0;170;0;170;300
28;NACIONAL;ANCASH;YUNGAY;MANCOS;IE 86629 JOSE CARLOS MARIATEGUI;900399;0;0;0;0;258;0;258;258
29;NACIONAL;APURIMAC;ABANCAY;CURAHUASI;IE INMACULADA;3955;0;0;0;0;300;0;300;300
30;NACIONAL;APURIMAC;COTABAMBAS;HAQUIRA;IE N.º 50684 JOSÉ CARLOS MARIÁTEGUI - PRIMARIA;900510;175;0;175;0;15;0;190;232
31;NACIONAL;AREQUIPA;CASTILLA;CHOCO;IE 40354 UCUCHACHAS;900560;50;0;50;0;4;0;54;87
32;NACIONAL;AYACUCHO;HUAMANGA;AYACUCHO;IEPE SAN RAMON;8945;0;0;0;0;265;0;265;300
33;NACIONAL;AYACUCHO;HUAMANGA;VINCHOS;IE 38050 ARISTIDES GUILLEN VALDIVIA;900588;191;0;191;2;12;0;205;261
34;NACIONAL;AYACUCHO;HUAMANGA;VINCHOS;IE 38050 ARISTIDES GUILLEN VALDIVIA;900591;189;1;190;0;18;0;208;262
35;NACIONAL;AYACUCHO;HUAMANGA;VINCHOS;IEP JOSE DE SAN MARTIN;9210;212;0;212;9;0;0;221;300
36;NACIONAL;AYACUCHO;HUANCA SANCOS;CARAPO;IE 38472 MX MANCHIRI;900717;131;1;132;0;6;0;138;197
37;NACIONAL;AYACUCHO;HUANTA;IGUAIN;IE CARLOS CH. HIRAOKA;9619;181;0;181;0;27;0;208;288
38;NACIONAL;AYACUCHO;LA MAR;ANCO;IE FRANCISCO DE ZELA;9752;121;1;122;0;8;0;130;296
39;NACIONAL;AYACUCHO;VICTOR FAJARDO;SARHUA;IE 38530 MXP JOSE RODOLFO SABOGAL WISSE;900705;114;1;115;1;5;0;121;154
40;NACIONAL;CAJAMARCA;CAJABAMBA;CONDEBAMBA;IE 821019 MALCAS;900798;0;0;0;0;198;0;198;252
41;NACIONAL;CAJAMARCA;CAJAMARCA;CAJAMARCA;PLATAFORMA DEPORTIVA RAMON CASTILLA;10398;0;0;0;0;262;0;262;300
42;NACIONAL;CAJAMARCA;CAJAMARCA;CHETILLA;FERNANDO BELAUNDE TERRY;10869;158;0;158;0;0;0;158;255
43;NACIONAL;CAJAMARCA;CELENDIN;HUASMIN;IE 82469 CHUGUR;900829;208;1;209;1;9;0;219;280
44;NACIONAL;CAJAMARCA;CELENDIN;HUASMIN;IES VISTA ALEGRE;900832;152;1;153;3;15;0;171;219
45;NACIONAL;CAJAMARCA;CHOTA;ANGUIA;IE 10470 VICTOR A. SANCHEZ OLANO;12044;108;1;109;0;6;0;115;218
46;NACIONAL;CAJAMARCA;CHOTA;ANGUIA;IE ARTURO OSORES CABRERA;12040;180;0;180;0;7;0;187;300
47;NACIONAL;CAJAMARCA;CHOTA;CHALAMARCA;IE 10892 JOSE FREDESVINDO VASQUEZ ACUÑA;12276;235;1;236;0;7;0;243;300
