ID;Departamento;Provincia;Distrito;Localidad;Mesa;Peru Libre;Fuerza Popular;Total Validos;Voto Blanco;Voto Nulo;Voto Impugnado;Total Votos;Electores Habiles
557;AMAZONAS;CONDORCANQUI;RIO SANTIAGO;IEP 16377;900113;0;0;0;0;78;0;78;168
2125;ANCASH;HUARI;HUARI;IE 86323 VIRGEN DE FATIMA;1849;0;0;0;0;61;0;61;300
2187;ANCASH;HUARI;SAN MARCOS;86380;1972;0;0;0;0;300;0;300;300
3269;ANCASH;SANTA;CHIMBOTE;IE SAN PEDRO;2336;0;0;0;0;170;0;170;300
4054;ANCASH;YUNGAY;MANCOS;IE 86629 JOSE CARLOS MARIATEGUI;900399;0;0;0;0;258;0;258;258
4424;APURIMAC;ABANCAY;CURAHUASI;IE INMACULADA;3955;0;0;0;0;300;0;300;300
9610;AYACUCHO;HUAMANGA;AYACUCHO;IEPE SAN RAMON;8945;0;0;0;0;265;0;265;300
9964;AYACUCHO;HUAMANGA;TAMBILLO;IEP Nº 38052/MX-P;9233;0;46;46;0;187;0;233;300
11048;CAJAMARCA;CAJABAMBA;CONDEBAMBA;IE 821019 MALCAS;900798;0;0;0;0;198;0;198;252
11672;CAJAMARCA;CAJAMARCA;CAJAMARCA;PLATAFORMA DEPORTIVA RAMON CASTILLA;10398;0;0;0;0;262;0;262;300
13246;CAJAMARCA;HUALGAYOC;BAMBAMARCA;IE SAN CARLOS;12438;0;7;7;0;111;0;118;300
13686;CAJAMARCA;JAEN;JAEN;IE. JAEN BRACAMOROS;12671;0;0;0;0;205;0;205;300
13723;CAJAMARCA;JAEN;JAEN;SAN AGUSTIN;12779;0;0;0;0;228;0;228;300
14318;CAJAMARCA;SAN MARCOS;JOSE SABOGAL;IE 82248;13642;0;0;0;0;148;0;148;300
14815;CALLAO;CALLAO;BELLAVISTA;COMPLEJO DEPORTIVO SEÑOR DE LOS MILAGROS;77402;0;0;0;0;234;0;234;300
15637;CALLAO;CALLAO;CALLAO;IE 5095 JULIO RAMON RIBEYRO;76758;0;0;0;0;264;0;264;300
16062;CALLAO;CALLAO;CALLAO;LOSA DEPORTIVA LOS OLIMPICOS;76322;0;0;0;0;244;0;244;300
16070;CALLAO;CALLAO;CALLAO;LOSA DEPORTIVA LOS OLIMPICOS;76449;0;0;0;0;294;0;294;300
16438;CALLAO;CALLAO;LA PERLA;ESTADIO CAMPOLO ALCALDE;77625;0;0;0;0;233;0;233;300
16600;CALLAO;CALLAO;MI PERU;5119 VILLA EMILIA;78579;0;0;0;0;244;0;244;300
16614;CALLAO;CALLAO;MI PERU;IE 33 FE Y ALEGRIA;78613;0;0;0;0;256;0;256;300
18025;CUSCO;CANCHIS;COMBAPATA;JERONIMO ZAVALA;15590;0;0;0;0;202;0;202;282
18490;CUSCO;CUSCO;CUSCO;50019;13949;0;0;0;0;245;0;245;300
20559;CUSCO;QUISPICANCHI;ANDAHUAYLILLAS;IE 50477;16703;0;0;0;0;212;0;212;300
21336;HUANCAVELICA;CHURCAMPA;COSME;IE 30979 THOMAS ALVA EDISON;17992;0;0;0;0;83;0;83;275
22749;HUANUCO;HUANUCO;CHINCHAO;IE NUESTRA SEÑORA DE LOURDES;18236;0;0;0;0;199;0;199;300
22808;HUANUCO;HUANUCO;CHURUBAMBA;IE MICAELA BASTIDAS;18286;0;0;0;0;293;0;293;293
23211;HUANUCO;HUANUCO;SANTA MARIA DEL VALLE;12;18386;0;0;0;0;117;0;117;248
23887;HUANUCO;PACHITEA;UMARI;IE LA PUNTA;901611;0;0;0;0;202;0;202;261
24259;ICA;CHINCHA;CHINCHA ALTA;IEI 225 EMILIA BARCIA BONIFFATTI;20948;0;0;0;0;274;0;274;300
24518;ICA;CHINCHA;PUEBLO NUEVO;IE 255 NIÑO DE JESUS DE PRAGA;21341;0;0;0;0;262;0;262;300
24645;ICA;CHINCHA;SUNAMPE;IE 22290 - GUAYABO;21242;0;0;0;0;270;0;270;300
24908;ICA;ICA;ICA;IE 22733 REPUBLICA DE CANADA;20033;0;0;0;0;50;0;50;300
