ID;Departamento;Provincia;Distrito;Localidad;Mesa;Peru Libre;Fuerza Popular;Total Validos;Voto Blanco;Voto Nulo;Voto Impugnado;Total Votos;Electores Habiles
0;AMAZONAS;BAGUA;IMAZA;IE 16357;900027;127;0;127;0;5;0;132;237
1;AMAZONAS;BAGUA;IMAZA;IE 16357;900029;139;0;139;0;3;0;142;238
2;AMAZONAS;BAGUA;IMAZA;IE 16714 SUWIKAI TSAKIM MIYAN PRIMARIA;900023;43;0;43;0;0;0;43;99
3;AMAZONAS;BAGUA;IMAZA;IE 17088;900036;42;0;42;2;0;0;44;83
4;AMAZONAS;CONDORCANQUI;EL CENEPA;IE 16342;000658;101;0;101;0;4;0;105;300
5;AMAZONAS;CONDORCANQUI;EL CENEPA;IE 16348;900124;131;0;131;0;0;0;131;237
6;AMAZONAS;CONDORCANQUI;EL CENEPA;IE 16364;900125;127;0;127;0;1;0;128;250
7;AMAZONAS;CONDORCANQUI;EL CENEPA;IE 16741;900116;160;0;160;2;0;0;162;244
8;AMAZONAS;CONDORCANQUI;NIEVA;IE 16712;900103;106;0;106;0;9;0;115;233
9;AMAZONAS;CONDORCANQUI;NIEVA;IE 16712;900105;119;0;119;0;3;0;122;233
10;AMAZONAS;CONDORCANQUI;NIEVA;IE 17104;900100;126;0;126;1;3;0;130;186
11;AMAZONAS;CONDORCANQUI;RIO SANTIAGO;IEP 16377;900113;0;0;0;0;78;0;78;168
12;ANCASH;HUARI;HUARI;IE 86323 VIRGEN DE FATIMA;001849;0;0;0;0;61;0;61;300
13;ANCASH;HUARI;SAN MARCOS;86380;001972;0;0;0;0;300;0;300;300
14;ANCASH;POMABAMBA;HUAYLLAN;I.E. EFRAIN ROCA GAMBINI;002137;177;0;177;0;14;0;191;264
15;ANCASH;SANTA;CHIMBOTE;IE SAN PEDRO;002336;0;0;0;0;170;0;170;300
16;ANCASH;YUNGAY;MANCOS;IE 86629 JOSE CARLOS MARIATEGUI;900399;0;0;0;0;258;0;258;258
17;APURIMAC;ABANCAY;CURAHUASI;IE INMACULADA;003955;0;0;0;0;300;0;300;300
18;APURIMAC;COTABAMBAS;HAQUIRA;IE N.º 50684 JOSÉ CARLOS MARIÁTEGUI - PRIMARIA;900510;175;0;175;0;15;0;190;232
19;AREQUIPA;CASTILLA;CHOCO;IE 40354 UCUCHACHAS;900560;50;0;50;0;4;0;54;87
20;AYACUCHO;HUAMANGA;AYACUCHO;IEPE SAN RAMON;008945;0;0;0;0;265;0;265;300
21;AYACUCHO;HUAMANGA;VINCHOS;IE 38050 ARISTIDES GUILLEN VALDIVIA;900588;191;0;191;2;12;0;205;261
22;AYACUCHO;HUAMANGA;VINCHOS;IEP JOSE DE SAN MARTIN;009210;212;0;212;9;0;0;221;300
23;AYACUCHO;HUANTA;IGUAIN;IE CARLOS CH. HIRAOKA;009619;181;0;181;0;27;0;208;288
24;CAJAMARCA;CAJABAMBA;CONDEBAMBA;IE 821019 MALCAS;900798;0;0;0;0;198;0;198;252
