ID;Departamento;Provincia;Distrito;Localidad;Mesa;Peru Libre;Fuerza Popular;Total Validos;Voto Blanco;Voto Nulo;Voto Impugnado;Total Votos;Electores Habiles
0;AMAZONAS;BAGUA;IMAZA;IE 16351 JOSE KISTUG PUJUPAT;900046;165;1;166;0;0;0;166;261
1;AMAZONAS;BAGUA;IMAZA;IE 16357;900027;127;0;127;0;5;0;132;237
2;AMAZONAS;BAGUA;IMAZA;IE 16357;900028;130;1;131;0;5;0;136;238
3;AMAZONAS;BAGUA;IMAZA;IE 16357;900029;139;0;139;0;3;0;142;238
4;AMAZONAS;BAGUA;IMAZA;IE 16714 SUWIKAI TSAKIM MIYAN PRIMARIA;900023;43;0;43;0;0;0;43;99
5;AMAZONAS;BAGUA;IMAZA;IE 17088;900036;42;0;42;2;0;0;44;83
6;AMAZONAS;CONDORCANQUI;EL CENEPA;IE 16342;000658;101;0;101;0;4;0;105;300
7;AMAZONAS;CONDORCANQUI;EL CENEPA;IE 16342;000659;68;1;69;0;0;0;69;300
8;AMAZONAS;CONDORCANQUI;EL CENEPA;IE 16342;000661;144;1;145;1;10;0;156;300
9;AMAZONAS;CONDORCANQUI;EL CENEPA;IE 16348;900124;131;0;131;0;0;0;131;237
10;AMAZONAS;CONDORCANQUI;EL CENEPA;IE 16364;900125;127;0;127;0;1;0;128;250
11;AMAZONAS;CONDORCANQUI;EL CENEPA;IE 16741;900115;163;1;164;1;3;0;168;243
12;AMAZONAS;CONDORCANQUI;EL CENEPA;IE 16741;900116;160;0;160;2;0;0;162;244
13;AMAZONAS;CONDORCANQUI;EL CENEPA;IE 16741;900119;145;1;146;0;17;0;163;243
14;AMAZONAS;CONDORCANQUI;EL CENEPA;MOISES MORENO ROMERO;000676;35;1;36;0;0;0;36;218
15;AMAZONAS;CONDORCANQUI;EL CENEPA;MOISES MORENO ROMERO;000677;31;1;32;0;0;0;32;219
16;AMAZONAS;CONDORCANQUI;NIEVA;IE 16712;900103;106;0;106;0;9;0;115;233
17;AMAZONAS;CONDORCANQUI;NIEVA;IE 16712;900104;107;1;108;1;1;0;110;233
18;AMAZONAS;CONDORCANQUI;NIEVA;IE 16712;900105;119;0;119;0;3;0;122;233
19;AMAZONAS;CONDORCANQUI;NIEVA;IE 16714 SUWIKAI TSAKIM MIYAN;900098;179;1;180;0;5;0;185;265
20;AMAZONAS;CONDORCANQUI;NIEVA;IE 17104;900100;126;0;126;1;3;0;130;186
21;AMAZONAS;CONDORCANQUI;NIEVA;IE 17104;900101;111;1;112;0;4;0;116;187
22;AMAZONAS;CONDORCANQUI;RIO SANTIAGO;IE 16375;900107;228;1;229;1;1;0;231;292
23;AMAZONAS;CONDORCANQUI;RIO SANTIAGO;IEP 16377;900113;0;0;0;0;78;0;78;168
24;ANCASH;HUARI;HUARI;IE 86323 VIRGEN DE FATIMA;001849;0;0;0;0;61;0;61;300
25;ANCASH;HUARI;SAN MARCOS;86380;001972;0;0;0;0;300;0;300;300
26;ANCASH;POMABAMBA;HUAYLLAN;I.E. EFRAIN ROCA GAMBINI;002137;177;0;177;0;14;0;191;264
27;ANCASH;SANTA;CHIMBOTE;IE SAN PEDRO;002336;0;0;0;0;170;0;170;300
28;ANCASH;YUNGAY;MANCOS;IE 86629 JOSE CARLOS MARIATEGUI;900399;0;0;0;0;258;0;258;258
29;APURIMAC;ABANCAY;CURAHUASI;IE INMACULADA;003955;0;0;0;0;300;0;300;300
30;APURIMAC;COTABAMBAS;HAQUIRA;IE N.º 50684 JOSÉ CARLOS MARIÁTEGUI - PRIMARIA;900510;175;0;175;0;15;0;190;232
31;AREQUIPA;CASTILLA;CHOCO;IE 40354 UCUCHACHAS;900560;50;0;50;0;4;0;54;87
32;AYACUCHO;HUAMANGA;AYACUCHO;IEPE SAN RAMON;008945;0;0;0;0;265;0;265;300
33;AYACUCHO;HUAMANGA;VINCHOS;IE 38050 ARISTIDES GUILLEN VALDIVIA;900588;191;0;191;2;12;0;205;261
34;AYACUCHO;HUAMANGA;VINCHOS;IE 38050 ARISTIDES GUILLEN VALDIVIA;900591;189;1;190;0;18;0;208;262
35;AYACUCHO;HUAMANGA;VINCHOS;IEP JOSE DE SAN MARTIN;009210;212;0;212;9;0;0;221;300
36;AYACUCHO;HUANCA SANCOS;CARAPO;IE 38472 MX MANCHIRI;900717;131;1;132;0;6;0;138;197
37;AYACUCHO;HUANTA;IGUAIN;IE CARLOS CH. HIRAOKA;009619;181;0;181;0;27;0;208;288
38;AYACUCHO;LA MAR;ANCO;IE FRANCISCO DE ZELA;009752;121;1;122;0;8;0;130;296
39;AYACUCHO;VICTOR FAJARDO;SARHUA;IE 38530 MXP JOSE RODOLFO SABOGAL WISSE;900705;114;1;115;1;5;0;121;154
40;CAJAMARCA;CAJABAMBA;CONDEBAMBA;IE 821019 MALCAS;900798;0;0;0;0;198;0;198;252
41;CAJAMARCA;CAJAMARCA;CAJAMARCA;PLATAFORMA DEPORTIVA RAMON CASTILLA;010398;0;0;0;0;262;0;262;300
42;CAJAMARCA;CAJAMARCA;CHETILLA;FERNANDO BELAUNDE TERRY;010869;158;0;158;0;0;0;158;255
43;CAJAMARCA;CELENDIN;HUASMIN;IE 82469 CHUGUR;900829;208;1;209;1;9;0;219;280
44;CAJAMARCA;CELENDIN;HUASMIN;IES VISTA ALEGRE;900832;152;1;153;3;15;0;171;219
45;CAJAMARCA;CHOTA;ANGUIA;IE 10470 VICTOR A. SANCHEZ OLANO;012044;108;1;109;0;6;0;115;218
46;CAJAMARCA;CHOTA;ANGUIA;IE ARTURO OSORES CABRERA;012040;180;0;180;0;7;0;187;300
47;CAJAMARCA;CHOTA;CHALAMARCA;IE 10892 JOSE FREDESVINDO VASQUEZ ACUÑA;012276;235;1;236;0;7;0;243;300
48;CAJAMARCA;CHOTA;CHIGUIRIP;IE FRANCISCO CADENILLAS GALVEZ;012096;160;1;161;0;23;0;184;283
49;CAJAMARCA;CHOTA;CHIMBAN;IE 10509;012102;150;1;151;0;9;0;160;300
50;CAJAMARCA;CHOTA;CHIMBAN;IE 10509;012103;161;0;161;0;4;0;165;300
51;CAJAMARCA;CHOTA;CHIMBAN;IE RAUL PORRES BARRENECHEA;012106;104;1;105;0;1;0;106;249
52;CAJAMARCA;CHOTA;CHOROPAMPA;IE SAN FRANCISCO;012262;144;1;145;0;1;0;146;279
53;CAJAMARCA;CHOTA;CHOROPAMPA;IE SAN FRANCISCO;012264;127;1;128;0;6;0;134;279
54;CAJAMARCA;CHOTA;CHOROPAMPA;IE SAN FRANCISCO;012265;150;0;150;2;2;0;154;279
55;CAJAMARCA;CHOTA;CHOROPAMPA;IE SAN FRANCISCO;012267;168;1;169;0;0;0;169;279
56;CAJAMARCA;CHOTA;TACABAMBA;IE 10446 SALOMON DIAZ;012226;183;0;183;0;19;0;202;300
57;CAJAMARCA;CHOTA;TACABAMBA;IE 10460 LA PUCARA;900900;190;1;191;0;7;0;198;278
58;CAJAMARCA;CHOTA;TACABAMBA;IE 10460 LA PUCARA;900903;170;0;170;1;0;0;171;277
59;CAJAMARCA;CHOTA;TACABAMBA;IE 10460 LA PUCARA;900904;200;0;200;0;2;0;202;277
60;CAJAMARCA;CHOTA;TACABAMBA;IE VICTOR ANTONIO HERRERA DELGADO;012243;243;0;243;0;3;0;246;300
61;CAJAMARCA;CHOTA;TACABAMBA;IE VICTOR ANTONIO HERRERA DELGADO;012245;208;0;208;0;0;0;208;300
62;CAJAMARCA;HUALGAYOC;BAMBAMARCA;IE VICTOR RAUL HAYA DE LA TORRE;012424;251;0;251;0;0;0;251;300
63;CAJAMARCA;HUALGAYOC;HUALGAYOC;IE ANDRÉS AVELINO CÁCERES;012499;81;0;81;0;1;0;82;89
64;CAJAMARCA;JAEN;JAEN;IE. JAEN BRACAMOROS;012671;0;0;0;0;205;0;205;300
65;CAJAMARCA;JAEN;JAEN;SAN AGUSTIN;012779;0;0;0;0;228;0;228;300
66;CAJAMARCA;SAN IGNACIO;HUARANGO;ESTADIO MUNICIPAL;013376;187;0;187;0;0;0;187;300
67;CAJAMARCA;SAN MARCOS;JOSE SABOGAL;IE 82248;013642;0;0;0;0;148;0;148;300
68;CALLAO;CALLAO;BELLAVISTA;COMPLEJO DEPORTIVO SEÑOR DE LOS MILAGROS;077402;0;0;0;0;234;0;234;300
69;CALLAO;CALLAO;CALLAO;IE 5095 JULIO RAMON RIBEYRO;076758;0;0;0;0;264;0;264;300
70;CALLAO;CALLAO;CALLAO;LOSA DEPORTIVA LOS OLIMPICOS;076322;0;0;0;0;244;0;244;300
71;CALLAO;CALLAO;CALLAO;LOSA DEPORTIVA LOS OLIMPICOS;076449;0;0;0;0;294;0;294;300
72;CALLAO;CALLAO;LA PERLA;ESTADIO CAMPOLO ALCALDE;077625;0;0;0;0;233;0;233;300
73;CALLAO;CALLAO;MI PERU;5119 VILLA EMILIA;078579;0;0;0;0;244;0;244;300
74;CALLAO;CALLAO;MI PERU;IE 33 FE Y ALEGRIA;078613;0;0;0;0;256;0;256;300
75;CUSCO;CANAS;CHECCA;IE 56127;015356;175;0;175;0;6;0;181;260
76;CUSCO;CANAS;CHECCA;IE ALTIVA CANAS DE CHITIBAMBA - NIVEL SECUNDARIO;901119;169;1;170;2;3;0;175;213
77;CUSCO;CANAS;CHECCA;IE SAN ANDRES;015358;220;1;221;0;7;0;228;300
78;CUSCO;CANAS;LAYO;TECNICO AGROPECUARIO;015406;136;1;137;0;6;0;143;216
79;CUSCO;CANCHIS;COMBAPATA;JERONIMO ZAVALA;015590;0;0;0;0;202;0;202;282
80;CUSCO;CHUMBIVILCAS;CHAMACA;IE DANIEL ALCIDES CARRION;015791;229;1;230;0;5;0;235;300
81;CUSCO;CHUMBIVILCAS;CHAMACA;IE DANIEL ALCIDES CARRION;015794;221;1;222;0;3;0;225;300
82;CUSCO;CHUMBIVILCAS;CHAMACA;IE DANIEL ALCIDES CARRION;015799;216;0;216;0;2;0;218;300
83;CUSCO;CHUMBIVILCAS;COLQUEMARCA;IE 56257 COLQUEMARCA;015779;209;0;209;0;18;0;227;300
84;CUSCO;CHUMBIVILCAS;COLQUEMARCA;IE 56257 COLQUEMARCA;015783;219;1;220;0;9;0;229;300
85;CUSCO;CHUMBIVILCAS;COLQUEMARCA;IE INTEGRADO N°56324;901132;209;0;209;5;8;0;222;289
86;CUSCO;CHUMBIVILCAS;LIVITACA;IE 56377 CHILLOROYA;901144;160;1;161;0;6;0;167;215
87;CUSCO;CHUMBIVILCAS;LIVITACA;IE INTEGRADO 56266 LIVITACA;015817;206;1;207;0;8;0;215;300
88;CUSCO;CHUMBIVILCAS;LIVITACA;IE SAN BARTOLOME;901146;183;1;184;2;5;0;191;236
89;CUSCO;CHUMBIVILCAS;LLUSCO;IE SECUNDARIA MIXTO AGROPECUARIA JOSE CARLOS MARIATEGUI;015829;203;1;204;2;2;0;208;300
90;CUSCO;CHUMBIVILCAS;LLUSCO;IE SECUNDARIA MIXTO AGROPECUARIA JOSE CARLOS MARIATEGUI;015831;226;1;227;2;9;0;238;300
91;CUSCO;CHUMBIVILCAS;LLUSCO;IE SECUNDARIA MIXTO AGROPECUARIA JOSE CARLOS MARIATEGUI;015832;210;0;210;0;7;0;217;300
92;CUSCO;CHUMBIVILCAS;LLUSCO;IE SECUNDARIA MIXTO AGROPECUARIA JOSE CARLOS MARIATEGUI;015837;200;1;201;2;9;0;212;300
93;CUSCO;CHUMBIVILCAS;LLUSCO;IE SECUNDARIA MIXTO AGROPECUARIA JOSE CARLOS MARIATEGUI;015838;207;0;207;0;1;0;208;300
94;CUSCO;CHUMBIVILCAS;LLUSCO;IE SECUNDARIA MIXTO AGROPECUARIA JOSE CARLOS MARIATEGUI;015841;205;0;205;1;8;0;214;300
95;CUSCO;CHUMBIVILCAS;QUIÑOTA;IE 56272 MILAGROSO SEÑOR DE HUANCA;015845;199;1;200;2;3;0;205;296
96;CUSCO;CHUMBIVILCAS;SANTO TOMAS;IE 56319 ROSA DE SANTA MARIA;015702;151;1;152;1;5;0;158;264
