ID;Departamento;Provincia;Distrito;Localidad;Mesa;Peru Libre;Fuerza Popular;Total Validos;Voto Blanco;Voto Nulo;Voto Impugnado;Total Votos;Electores Habiles
0;AMAZONAS;BAGUA;IMAZA;IE 16351 JOSE KISTUG PUJUPAT;900044;171;2;173;0;3;0;176;261
1;AMAZONAS;BAGUA;IMAZA;IE 16351 JOSE KISTUG PUJUPAT;900045;172;3;175;0;0;0;175;261
2;AMAZONAS;BAGUA;IMAZA;IE 16351 JOSE KISTUG PUJUPAT;900046;165;1;166;0;0;0;166;261
3;AMAZONAS;BAGUA;IMAZA;IE 16352;900024;138;2;140;2;10;0;152;233
4;AMAZONAS;BAGUA;IMAZA;IE 16357;900027;127;0;127;0;5;0;132;237
5;AMAZONAS;BAGUA;IMAZA;IE 16357;900028;130;1;131;0;5;0;136;238
6;AMAZONAS;BAGUA;IMAZA;IE 16357;900029;139;0;139;0;3;0;142;238
7;AMAZONAS;BAGUA;IMAZA;IE 16714 SUWIKAI TSAKIM MIYAN PRIMARIA;900023;43;0;43;0;0;0;43;99
8;AMAZONAS;BAGUA;IMAZA;IE 16725;900030;135;3;138;5;21;0;164;276
9;AMAZONAS;BAGUA;IMAZA;IE 16725;900031;127;2;129;6;26;0;161;276
10;AMAZONAS;BAGUA;IMAZA;IE 17088;900036;42;0;42;2;0;0;44;83
11;AMAZONAS;BAGUA;IMAZA;IESTP TSAMAJAIN;000307;90;3;93;0;5;0;98;300
12;AMAZONAS;CONDORCANQUI;EL CENEPA;IE 16342;000658;101;0;101;0;4;0;105;300
13;AMAZONAS;CONDORCANQUI;EL CENEPA;IE 16342;000659;68;1;69;0;0;0;69;300
14;AMAZONAS;CONDORCANQUI;EL CENEPA;IE 16342;000660;96;3;99;0;1;0;100;300
15;AMAZONAS;CONDORCANQUI;EL CENEPA;IE 16342;000661;144;1;145;1;10;0;156;300
16;AMAZONAS;CONDORCANQUI;EL CENEPA;IE 16342;000662;122;3;125;0;2;0;127;300
17;AMAZONAS;CONDORCANQUI;EL CENEPA;IE 16342;000663;114;2;116;1;3;0;120;300
18;AMAZONAS;CONDORCANQUI;EL CENEPA;IE 16342;000665;85;2;87;0;3;0;90;300
19;AMAZONAS;CONDORCANQUI;EL CENEPA;IE 16342;000666;122;3;125;0;6;0;131;300
20;AMAZONAS;CONDORCANQUI;EL CENEPA;IE 16342;000667;130;2;132;0;3;0;135;300
21;AMAZONAS;CONDORCANQUI;EL CENEPA;IE 16342;000669;91;3;94;0;2;0;96;300
22;AMAZONAS;CONDORCANQUI;EL CENEPA;IE 16342;000671;126;3;129;0;1;0;130;300
23;AMAZONAS;CONDORCANQUI;EL CENEPA;IE 16342;000672;98;2;100;0;5;0;105;300
24;AMAZONAS;CONDORCANQUI;EL CENEPA;IE 16342;000673;102;3;105;0;2;0;107;300
25;AMAZONAS;CONDORCANQUI;EL CENEPA;IE 16342;000675;85;2;87;0;2;0;89;300
26;AMAZONAS;CONDORCANQUI;EL CENEPA;IE 16347;900121;128;3;131;0;3;0;134;238
27;AMAZONAS;CONDORCANQUI;EL CENEPA;IE 16347;900123;131;2;133;0;2;0;135;238
28;AMAZONAS;CONDORCANQUI;EL CENEPA;IE 16348;900124;131;0;131;0;0;0;131;237
29;AMAZONAS;CONDORCANQUI;EL CENEPA;IE 16364;900125;127;0;127;0;1;0;128;250
30;AMAZONAS;CONDORCANQUI;EL CENEPA;IE 16741;900115;163;1;164;1;3;0;168;243
31;AMAZONAS;CONDORCANQUI;EL CENEPA;IE 16741;900116;160;0;160;2;0;0;162;244
32;AMAZONAS;CONDORCANQUI;EL CENEPA;IE 16741;900117;163;3;166;0;3;0;169;244
33;AMAZONAS;CONDORCANQUI;EL CENEPA;IE 16741;900118;144;2;146;0;29;0;175;244
34;AMAZONAS;CONDORCANQUI;EL CENEPA;IE 16741;900119;145;1;146;0;17;0;163;243
35;AMAZONAS;CONDORCANQUI;EL CENEPA;MOISES MORENO ROMERO;000676;35;1;36;0;0;0;36;218
36;AMAZONAS;CONDORCANQUI;EL CENEPA;MOISES MORENO ROMERO;000677;31;1;32;0;0;0;32;219
37;AMAZONAS;CONDORCANQUI;EL CENEPA;MOISES MORENO ROMERO;000678;29;2;31;0;0;0;31;218
38;AMAZONAS;CONDORCANQUI;NIEVA;IE 16305;900088;87;3;90;3;8;0;101;198
39;AMAZONAS;CONDORCANQUI;NIEVA;IE 16305;900089;98;2;100;1;5;0;106;198
40;AMAZONAS;CONDORCANQUI;NIEVA;IE 16712;900102;106;3;109;1;5;0;115;233
41;AMAZONAS;CONDORCANQUI;NIEVA;IE 16712;900103;106;0;106;0;9;0;115;233
42;AMAZONAS;CONDORCANQUI;NIEVA;IE 16712;900104;107;1;108;1;1;0;110;233
43;AMAZONAS;CONDORCANQUI;NIEVA;IE 16712;900105;119;0;119;0;3;0;122;233
44;AMAZONAS;CONDORCANQUI;NIEVA;IE 16714 SUWIKAI TSAKIM MIYAN;900096;154;3;157;0;4;0;161;264
45;AMAZONAS;CONDORCANQUI;NIEVA;IE 16714 SUWIKAI TSAKIM MIYAN;900097;175;3;178;1;0;0;179;265
46;AMAZONAS;CONDORCANQUI;NIEVA;IE 16714 SUWIKAI TSAKIM MIYAN;900098;179;1;180;0;5;0;185;265
47;AMAZONAS;CONDORCANQUI;NIEVA;IE 16714 SUWIKAI TSAKIM MIYAN;900099;165;2;167;2;3;0;172;264
48;AMAZONAS;CONDORCANQUI;NIEVA;IE 17104;900100;126;0;126;1;3;0;130;186
49;AMAZONAS;CONDORCANQUI;NIEVA;IE 17104;900101;111;1;112;0;4;0;116;187
50;AMAZONAS;CONDORCANQUI;RIO SANTIAGO;IE 16375;900107;228;1;229;1;1;0;231;292
51;AMAZONAS;CONDORCANQUI;RIO SANTIAGO;IEP 16377;900113;0;0;0;0;78;0;78;168
52;AMAZONAS;CONDORCANQUI;RIO SANTIAGO;IEPM 16336;900108;92;2;94;0;2;0;96;153
53;ANCASH;ANTONIO RAIMONDI;MIRGAS;IE MARIANO MELGAR Y VALDIVIESO;900427;201;3;204;2;5;0;211;294
54;ANCASH;HUARI;HUARI;IE 86323 VIRGEN DE FATIMA;001849;0;0;0;0;61;0;61;300
55;ANCASH;HUARI;PONTO;IE HORACIO ZEBALLOS GAMEZ;001926;123;3;126;0;13;0;139;300
56;ANCASH;HUARI;SAN MARCOS;86380;001972;0;0;0;0;300;0;300;300
57;ANCASH;MARISCAL LUZURIAGA;LLUMPA;IE JOSE CARLOS MARIATEGUI;900301;192;3;195;6;21;0;222;278
58;ANCASH;POMABAMBA;HUAYLLAN;I.E. EFRAIN ROCA GAMBINI;002137;177;0;177;0;14;0;191;264
59;ANCASH;SANTA;CHIMBOTE;IE SAN PEDRO;002336;0;0;0;0;170;0;170;300
60;ANCASH;YUNGAY;MANCOS;IE 86629 JOSE CARLOS MARIATEGUI;900399;0;0;0;0;258;0;258;258
61;APURIMAC;ABANCAY;CURAHUASI;IE INMACULADA;003955;0;0;0;0;300;0;300;300
62;APURIMAC;CHINCHEROS;RANRACANCHA;LOS LIBERTADORES;004784;144;3;147;2;7;0;156;271
63;APURIMAC;CHINCHEROS;ROCCHACC;VICTOR RAUL HAYA DE LA TORRE;004790;114;3;117;1;2;0;120;165
64;APURIMAC;COTABAMBAS;COTABAMBAS;IE 50639 - COLCA;900505;115;2;117;3;7;0;127;168
65;APURIMAC;COTABAMBAS;HAQUIRA;IE 50677 VIRGEN DE LAS NIEVES;900507;154;2;156;1;6;0;163;234
66;APURIMAC;COTABAMBAS;HAQUIRA;IE 50677 VIRGEN DE LAS NIEVES;900508;142;3;145;2;16;0;163;234
