ID;Departamento;Provincia;Distrito;Localidad;Mesa;Peru Libre;Fuerza Popular;Total Validos;Voto Blanco;Voto Nulo;Voto Impugnado;Total Votos;Electores Habiles
0;AMAZONAS;CONDORCANQUI;RIO SANTIAGO;IEP 16377;900113;0;0;0;0;78;0;78;168
1;ANCASH;HUARI;HUARI;IE 86323 VIRGEN DE FATIMA;001849;0;0;0;0;61;0;61;300
2;ANCASH;HUARI;SAN MARCOS;86380;001972;0;0;0;0;300;0;300;300
3;ANCASH;SANTA;CHIMBOTE;IE SAN PEDRO;002336;0;0;0;0;170;0;170;300
4;ANCASH;YUNGAY;MANCOS;IE 86629 JOSE CARLOS MARIATEGUI;900399;0;0;0;0;258;0;258;258
5;APURIMAC;ABANCAY;CURAHUASI;IE INMACULADA;003955;0;0;0;0;300;0;300;300
6;AYACUCHO;HUAMANGA;AYACUCHO;IEPE SAN RAMON;008945;0;0;0;0;265;0;265;300
7;AYACUCHO;HUAMANGA;TAMBILLO;IEP Nº 38052/MX-P;009233;0;46;46;0;187;0;233;300
8;CAJAMARCA;CAJABAMBA;CONDEBAMBA;IE 821019 MALCAS;900798;0;0;0;0;198;0;198;252
9;CAJAMARCA;CAJAMARCA;CAJAMARCA;PLATAFORMA DEPORTIVA RAMON CASTILLA;010398;0;0;0;0;262;0;262;300
10;CAJAMARCA;HUALGAYOC;BAMBAMARCA;IE SAN CARLOS;012438;0;7;7;0;111;0;118;300
11;CAJAMARCA;JAEN;JAEN;IE. JAEN BRACAMOROS;012671;0;0;0;0;205;0;205;300
12;CAJAMARCA;JAEN;JAEN;SAN AGUSTIN;012779;0;0;0;0;228;0;228;300
13;CAJAMARCA;SAN MARCOS;JOSE SABOGAL;IE 82248;013642;0;0;0;0;148;0;148;300
14;CALLAO;CALLAO;BELLAVISTA;COMPLEJO DEPORTIVO SEÑOR DE LOS MILAGROS;077402;0;0;0;0;234;0;234;300
15;CALLAO;CALLAO;CALLAO;IE 5095 JULIO RAMON RIBEYRO;076758;0;0;0;0;264;0;264;300
16;CALLAO;CALLAO;CALLAO;LOSA DEPORTIVA LOS OLIMPICOS;076322;0;0;0;0;244;0;244;300
17;CALLAO;CALLAO;CALLAO;LOSA DEPORTIVA LOS OLIMPICOS;076449;0;0;0;0;294;0;294;300
18;CALLAO;CALLAO;LA PERLA;ESTADIO CAMPOLO ALCALDE;077625;0;0;0;0;233;0;233;300
19;CALLAO;CALLAO;MI PERU;5119 VILLA EMILIA;078579;0;0;0;0;244;0;244;300
20;CALLAO;CALLAO;MI PERU;IE 33 FE Y ALEGRIA;078613;0;0;0;0;256;0;256;300
21;CUSCO;CANCHIS;COMBAPATA;JERONIMO ZAVALA;015590;0;0;0;0;202;0;202;282
22;CUSCO;CUSCO;CUSCO;50019;013949;0;0;0;0;245;0;245;300
23;CUSCO;QUISPICANCHI;ANDAHUAYLILLAS;IE 50477;016703;0;0;0;0;212;0;212;300
24;HUANCAVELICA;CHURCAMPA;COSME;IE 30979 THOMAS ALVA EDISON;017992;0;0;0;0;83;0;83;275
25;HUANUCO;HUANUCO;CHINCHAO;IE NUESTRA SEÑORA DE LOURDES;018236;0;0;0;0;199;0;199;300
26;HUANUCO;HUANUCO;CHURUBAMBA;IE MICAELA BASTIDAS;018286;0;0;0;0;293;0;293;293
27;HUANUCO;HUANUCO;SANTA MARIA DEL VALLE;012;018386;0;0;0;0;117;0;117;248
28;HUANUCO;PACHITEA;UMARI;IE LA PUNTA;901611;0;0;0;0;202;0;202;261
29;ICA;CHINCHA;CHINCHA ALTA;IEI 225 EMILIA BARCIA BONIFFATTI;020948;0;0;0;0;274;0;274;300
30;ICA;CHINCHA;PUEBLO NUEVO;IE 255 NIÑO DE JESUS DE PRAGA;021341;0;0;0;0;262;0;262;300
31;ICA;CHINCHA;SUNAMPE;IE 22290 - GUAYABO;021242;0;0;0;0;270;0;270;300
32;ICA;ICA;ICA;IE 22733 REPUBLICA DE CANADA;020033;0;0;0;0;50;0;50;300
33;ICA;ICA;TATE;IE 22360 FRANCISCO PEREZ ANAMPA;020827;0;0;0;0;67;0;67;300
34;JUNIN;HUANCAYO;HUANCAYO;IE 30059 ROSA DE AMERICA;022222;0;0;0;0;221;0;221;300
35;JUNIN;SATIPO;RIO TAMBO;IE LA INMACULADA;024773;0;0;0;0;124;0;124;300
36;JUNIN;SATIPO;SATIPO;IE JOSE OLAYA;024482;0;0;0;0;240;0;240;300
37;JUNIN;SATIPO;SATIPO;IE RAFAEL GASTELUA SECUNDARIA;024506;0;0;0;0;226;0;226;300
